Area_id,area,area_title,occ_title,tot_emp,h_mean,a_mean
171,21,Kentucky,Architecture and Engineering Occupations,"28,270",35.37,"73,570"
172,22,Louisiana,Architecture and Engineering Occupations,"31,410",40.47,"84,180"
173,23,Maine,Architecture and Engineering Occupations,"9,930",36.72,"76,380"
174,24,Maryland,Architecture and Engineering Occupations,"60,480",47.23,"98,250"
175,25,Massachusetts,Architecture and Engineering Occupations,"74,860",44.7,"92,970"
176,26,Michigan,Architecture and Engineering Occupations,"139,590",40.3,"83,820"
177,27,Minnesota,Architecture and Engineering Occupations,"56,070",39.57,"82,300"
178,28,Mississippi,Architecture and Engineering Occupations,"13,950",36.01,"74,910"
179,29,Missouri,Architecture and Engineering Occupations,"38,390",38.38,"79,840"
180,30,Montana,Architecture and Engineering Occupations,"7,070",34.8,"72,380"
181,31,Nebraska,Architecture and Engineering Occupations,"12,400",35.21,"73,250"
182,32,Nevada,Architecture and Engineering Occupations,"14,010",38.27,"79,610"
183,33,New Hampshire,Architecture and Engineering Occupations,"13,950",40.98,"85,240"
184,34,New Jersey,Architecture and Engineering Occupations,"51,020",45.55,"94,750"
185,35,New Mexico,Architecture and Engineering Occupations,"19,880",45.72,"95,110"
186,36,New York,Architecture and Engineering Occupations,"112,120",43.06,"89,560"
187,37,North Carolina,Architecture and Engineering Occupations,"64,160",37.6,"78,210"
188,38,North Dakota,Architecture and Engineering Occupations,"7,040",36.86,"76,680"
189,39,Ohio,Architecture and Engineering Occupations,"96,100",38.29,"79,650"
190,40,Oklahoma,Architecture and Engineering Occupations,"28,550",39.47,"82,100"
191,41,Oregon,Architecture and Engineering Occupations,"42,290",39.06,"81,250"
192,42,Pennsylvania,Architecture and Engineering Occupations,"104,660",38.48,"80,040"
193,44,Rhode Island,Architecture and Engineering Occupations,"8,580",44.07,"91,670"
194,45,South Carolina,Architecture and Engineering Occupations,"40,400",38.44,"79,960"
195,46,South Dakota,Architecture and Engineering Occupations,"4,920",32.75,"68,120"
196,47,Tennessee,Architecture and Engineering Occupations,"44,550",36.36,"75,630"
197,48,Texas,Architecture and Engineering Occupations,"234,930",47.35,"98,500"
198,49,Utah,Architecture and Engineering Occupations,"28,290",37.48,"77,960"
199,50,Vermont,Architecture and Engineering Occupations,"6,080",38.26,"79,580"
200,51,Virginia,Architecture and Engineering Occupations,"77,210",43.6,"90,700"
201,53,Washington,Architecture and Engineering Occupations,"75,110",45.99,"95,660"
202,54,West Virginia,Architecture and Engineering Occupations,"9,310",36,"74,880"
203,55,Wisconsin,Architecture and Engineering Occupations,"52,260",34.79,"72,370"
204,56,Wyoming,Architecture and Engineering Occupations,"4,300",38.77,"80,650"
205,1,Alabama,"Life, Physical, and Social Science Occupations","8,560",31.18,"64,860"
206,2,Alaska,"Life, Physical, and Social Science Occupations","5,980",35.92,"74,720"
207,4,Arizona,"Life, Physical, and Social Science Occupations","19,950",30.84,"64,150"
208,5,Arkansas,"Life, Physical, and Social Science Occupations","5,930",28.74,"59,780"
209,6,California,"Life, Physical, and Social Science Occupations","177,450",41.18,"85,640"
210,8,Colorado,"Life, Physical, and Social Science Occupations","30,330",36.62,"76,170"
211,9,Connecticut,"Life, Physical, and Social Science Occupations","11,800",40.73,"84,720"
212,10,Delaware,"Life, Physical, and Social Science Occupations","5,210",38.9,"80,900"
213,11,District of Columbia,"Life, Physical, and Social Science Occupations","22,960",52.97,"110,170"
214,12,Florida,"Life, Physical, and Social Science Occupations","40,130",31.38,"65,270"
215,13,Georgia,"Life, Physical, and Social Science Occupations","25,580",32.51,"67,610"
